,gloss,wnid,words
30664,live associated with sea anemones,n02607072,anemone fish
30665,an anemone fish of the genus Amphiprion,n02607201,"clown anemone fish, Amphiprion percula"
30666,large blue-grey black-striped damselfish; nearly worldwide,n02607470,"sergeant major, Abudefduf saxatilis"
30667,chiefly tropical marine fishes with fleshy lips and powerful teeth; usually brightly colored,n02607862,wrasse
30668,found around the Great Barrier Reef,n02608284,"pigfish, giant pigfish, Achoerodus gouldii"
30669,large wrasse of western Atlantic; head of male resembles a pig's snout,n02608547,"hogfish, hog snapper, Lachnolaimus maximus"
30670,small wrasse of tropical Atlantic,n02608860,"slippery dick, Halicoeres bivittatus"
30671,bluish and bronze wrasse; found from Florida keys to Brazil,n02608996,"puddingwife, pudding-wife, Halicoeres radiatus"
30672,small Atlantic wrasse the male of which has a brilliant blue head,n02609302,"bluehead, Thalassoma bifasciatum"
30673,any of several small wrasses with compressed sharp-edged heads of the West Indies and Mediterranean,n02609617,"razor fish, razor-fish"
30674,a kind of razor fish,n02609823,"pearly razorfish, Hemipteronatus novacula"
30675,large dark-colored food fish of the Atlantic coast of North America,n02610066,"tautog, blackfish, Tautoga onitis"
30676,common in north Atlantic coastal waters of the United States,n02610373,"cunner, bergall, Tautogolabrus adspersus"
30677,gaudy tropical fishes with parrotlike beaks formed by fusion of teeth,n02610664,"parrotfish, polly fish, pollyfish"
30678,mullet-like tropical marine fishes having pectoral fins with long threadlike rays,n02610980,threadfin
30679,found along western Atlantic coast,n02611294,"barbu, Polydactylus virginicus"
30680,small large-mouthed tropical marine fishes common along sandy bottoms; males brood egg balls in their mouths; popular aquarium fishes,n02611561,jawfish
30681,heavy-bodied marine bottom-lurkers with eyes on flattened top of the head,n02611898,stargazer
30682,small pallid fishes of shoal tropical waters of North America and South America having eyes on stalks atop head; they burrow in sand to await prey,n02612167,sand stargazer
30683,elongated mostly scaleless marine fishes with large pectoral fins and reduced pelvic fins,n02612657,"blennioid fish, blennioid"
30684,small usually scaleless fishes with comb-like teeth living about rocky shores; are territorial and live in holes between rocks,n02613181,"blenny, combtooth blenny"
30685,European scaleless blenny,n02613572,"shanny, Blennius pholis"
30686,inhabits both coasts of tropical Atlantic,n02613820,"Molly Miller, Scartella cristata"
30687,mostly small blennioid fishes of coral reefs and seagrass beds,n02614140,"clinid, clinid fish"
30688,tropical American fishes; males are aggressively defensive of their territory,n02614482,pikeblenny
30689,found from Florida to Cuba,n02614653,"bluethroat pikeblenny, Chaenopsis ocellata"
30690,small eellike fishes common in shallow waters of the northern Atlantic,n02614978,"gunnel, bracketed blenny"
30691,slippery scaleless food fish of the northern Atlantic coastal waters,n02615298,"rock gunnel, butterfish, Pholis gunnellus"
30692,small elongate fishes of shallow northern seas; a long dorsal fin consists entirely of spines,n02615642,prickleback
30693,found in Arctic and northern Atlantic waters,n02615980,"snakeblenny, Lumpenus lumpretaeformis"
30694,eellike fishes found in subarctic coastal waters,n02616128,eelblenny
30695,eellike Atlantic bottom fish with large almost vertical mouth,n02616397,"wrymouth, ghostfish, Cryptacanthodes maculatus"
30696,large ferocious northern deep-sea food fishes with strong teeth and no pelvic fins,n02616851,"wolffish, wolf fish, catfish"
30697,marine eellike mostly bottom-dwelling fishes of northern seas,n02617207,"eelpout, pout"
30698,an eelpout of northern Europe that is viviparous,n02617537,"viviparous eelpout, Zoarces viviparus"
30699,brightly colored scaleless Arctic eelpout,n02617819,"fish doctor, Gymnelis viridis"
30700,common along northeastern coast of North America,n02618094,"ocean pout, Macrozoarces americanus"
30701,small spiny-finned fish of coastal or brackish waters having a large head and elongated tapering body having the ventral fins modified as a sucker,n02619165,"goby, gudgeon"
30702,found in tropical coastal regions of Africa and Asia; able to move on land on strong pectoral fins,n02619550,"mudskipper, mudspringer"
30703,tropical fish that resembles a goby and rests quietly on the bottom in shallow water,n02619861,"sleeper, sleeper goby"
30704,pallid bottom-dwelling flat-headed fish with large eyes and a duck-like snout,n02620167,flathead
30705,any of several small freshwater fishes that catch insects by squirting water at them and knocking them into the water; found in Indonesia and Australia,n02620578,"archerfish, Toxotes jaculatrix"
30706,poorly known family of small tropical shallow-water fishes related to gobies,n02620956,worm fish
30707,brightly colored coral-reef fish with knifelike spines at the tail,n02621258,surgeonfish
30708,surgeon fish of the West Indies,n02621577,"doctorfish, doctor-fish, Acanthurus chirurgus"
30709,snake mackerels; elongated marine fishes with oily flesh; resembles mackerels; found worldwide,n02621908,gempylid
30710,predatory tropical fishes with jutting jaws and strong teeth,n02622249,"snake mackerel, Gempylus serpens"
30711,large snake mackerel with rings like spectacles around its eyes,n02622547,"escolar, Lepidocybium flavobrunneum"
30712,very large deep-water snake mackerel,n02622712,"oilfish, Ruvettus pretiosus"
30713,long-bodied marine fishes having a long whiplike scaleless body and sharp teeth; closely related to snake mackerel,n02622955,"cutlassfish, frost fish, hairtail"
30714,important marine food and game fishes found in all tropical and temperate seas; some are at least partially endothermic and can thrive in colder waters,n02623445,"scombroid, scombroid fish"
30719,any of various fishes of the family Scombridae,n02624167,mackerel
30720,important food fish of the northern Atlantic and Mediterranean; its body is greenish-blue with dark bars and small if any scales,n02624551,"common mackerel, shiner, Scomber scombrus"
30721,medium-sized mackerel of temperate Atlantic and Gulf of Mexico,n02624807,"Spanish mackerel, Scomber colias"
30722,small mackerel found nearly worldwide,n02624987,"chub mackerel, tinker, Scomber japonicus"
30723,large fast-moving predacious food and game fish; found worldwide,n02625258,"wahoo, Acanthocybium solandri"
30724,any of several large marine food fishes of the genus Scomberomorus,n02625612,Spanish mackerel
30725,any of various scombroid fishes intermediate in size and characteristics between mackerels and tunas,n02627835,bonito
30726,medium-sized tuna-like food fish of warm Atlantic and Pacific waters; less valued than tuna,n02628062,"skipjack, Atlantic bonito, Sarda sarda"
30727,common bonito of Pacific coast of the Americas; its dark oily flesh cans well,n02628259,"Chile bonito, Chilean bonito, Pacific bonito, Sarda chiliensis"
30728,oceanic schooling tuna of considerable value in Pacific but less in Atlantic; reaches 75 pounds; very similar to if not the same as oceanic bonito,n02628600,"skipjack, skipjack tuna, Euthynnus pelamis"
30729,fish whose flesh is dried and flaked for Japanese cookery; may be same species as skipjack tuna,n02629230,"bonito, oceanic bonito, Katsuwonus pelamis"
30730,large toothless marine food fish with a long swordlike upper jaw; not completely cold-blooded i.e. they are able to warm their brains and eyes: worldwide in warm waters but feed on cold ocean floor coming to surface at night,n02629716,"swordfish, Xiphias gladius"
30731,large pelagic game fish having an elongated upper jaw and long dorsal fin that resembles a sail,n02630281,sailfish
30732,a kind of sailfish,n02630615,"Atlantic sailfish, Istiophorus albicans"
30733,giant warm-water game fish having a prolonged and rounded toothless upper jaw,n02630739,billfish
30734,large long-jawed oceanic sport fishes; related to sailfishes and spearfishes; not completely cold-blooded i.e. able to warm their brains and eyes,n02631041,marlin
30735,any of several large vigorous pelagic fishes resembling sailfishes but with first dorsal fin much reduced; worldwide but rare,n02632039,spearfish
30736,large silvery fish found worldwide in warm seas but nowhere common; resembles a whale and feeds on plankton,n02632494,"louvar, Luvarus imperialis"
30737,sluggish square-tailed fish armored with tough bony scales; of deep warm waters,n02634858,squaretail
30738,small marine fish with a short compressed body and feeble spines,n02632989,"butterfish, stromateid fish, stromateid"
30739,small food fish of Atlantic coast,n02633422,"dollarfish, Poronotus triacanthus"
30740,smaller than Florida pompano; common in West Indies,n02633677,"palometa, California pompano, Palometa simillima"
30741,butterfish up to a foot long of Atlantic waters from Chesapeake Bay to Argentina,n02633977,"harvestfish, Paprilus alepidotus"
30742,small (6 inches) tropical butterfishes found worldwide,n02634285,driftfish
30743,larger butterfishes of the western Atlantic from the New York area to the northern Gulf of Mexico,n02634545,driftfish
30744,blackish fish of New England waters,n02635154,"barrelfish, black rudderfish, Hyperglyphe perciformis"
30745,very small (to 3 inches) flattened marine fish with a sucking disc on the abdomen for clinging to rocks etc.,n02635580,clingfish
30746,clingfish with typical skillet shape,n02635781,"skillet fish, skilletfish, Gobiesox strumosus"
30747,large food fish of warm waters worldwide having long anal and dorsal fins that with a caudal fin suggest a three-lobed tail,n02636170,tripletail
30748,tripletail found from Cape Cod to northern South America,n02636405,"Atlantic tripletail, Lobotes surinamensis"
30749,tripletail found in the Pacific,n02636550,"Pacific tripletail, Lobotes pacificus"
30750,small silvery schooling fishes with protrusible mouths found in warm coastal waters,n02636854,mojarra
30751,popular panfish from Bermuda and Gulf of Mexico to Brazil,n02637179,"yellowfin mojarra, Gerres cinereus"
30752,silvery mojarra found along sandy shores of the western Atlantic,n02637475,"silver jenny, Eucinostomus gula"
30753,a small fish of the genus Sillago; excellent food fish,n02637977,whiting
30754,marine fishes with a flattened elongated body and a sucking disk on the head for attaching to large fish or moving objects,n02574910,"remora, suckerfish, sucking fish"
